session,visitor,dt,custno,category,event1,event2
2094303,444358,2016-12-22 08:21:08,22015,1,,3
959382,77585,2016-09-13 06:53:03,59625,3,8.0,8
2531268,233839,2016-04-25 17:22:45,21867,3,4.0,4
643164,379921,2016-11-27 11:02:43,32820,3,,7
3403760,77452,2017-08-05 06:50:57,43853,3,,7
1017093,430385,2016-11-10 19:05:09,33159,3,,8
554953,333218,2016-06-07 13:51:29,9242,2,,9
220545,457606,2017-03-15 16:40:59,54329,3,,7
463772,101172,2017-03-10 18:56:17,24486,3,,5
2496652,457497,2017-05-12 20:06:09,30642,3,,5
631777,109653,2016-08-27 20:07:09,61206,3,,8
997969,53124,2016-08-12 08:00:44,6358,3,,3
941287,421284,2016-01-11 07:11:39,11134,3,,6
2520168,413157,2017-10-14 11:28:21,36899,3,,9
661511,53383,2016-11-28 12:15:20,58190,3,,3
1002042,244684,2016-11-28 13:34:28,70164,3,,9
56376,430024,2017-04-10 08:39:38,30489,3,,3
843702,430335,2017-09-26 10:05:09,18887,3,,7
1655338,292854,2016-12-29 12:37:44,48403,1,,4
2431890,228291,2017-06-07 13:04:42,13806,3,,7
2948646,101183,2016-02-09 16:13:35,33073,3,,8
351419,483088,2016-01-20 22:12:46,35654,3,,6
2382766,459230,2016-07-14 10:17:50,56821,3,,8
537290,407898,2017-02-26 07:08:18,44648,3,8.0,3
2784735,4396,2017-04-27 15:01:47,59413,2,,7
2970663,126719,2016-04-10 14:58:16,637,3,,8
2843576,204161,2017-03-12 22:12:17,1014,3,,7
1151836,144647,2017-11-20 14:17:28,12330,3,,4
1008231,126803,2016-09-01 08:16:49,43483,3,8.0,7
3287189,430585,2016-01-23 05:19:47,29962,3,,4
1472458,457349,2016-12-04 07:52:37,51440,3,,7
3609569,490089,2016-05-30 07:47:45,15896,3,,7
1717119,420467,2017-11-04 09:25:37,41313,3,,8
2437965,52996,2017-07-20 14:19:27,18233,3,,4
3578774,53158,2016-09-04 15:19:38,16212,3,,7
2697529,13293,2017-12-01 08:54:45,22211,3,,4
98233,455335,2016-09-01 14:21:18,69553,2,6.0,1
654351,207004,2016-05-15 10:29:57,46701,2,,4
2095737,80952,2016-07-28 07:25:55,35676,3,1.0,1
551134,231373,2016-07-03 07:12:14,7038,2,,8
3425585,153831,2016-08-10 07:23:32,60349,3,,8
3127350,9855,2016-09-07 10:42:31,17953,3,,8
2105079,404787,2016-10-08 07:08:45,52092,2,1.0,1
3105587,388164,2016-12-05 06:28:30,42469,3,,7
3282371,102938,2017-03-20 12:38:29,34575,3,,7
47253,431387,2016-08-17 06:30:53,19196,3,,1
189186,65599,2016-07-28 22:34:48,14977,1,11.0,7
943198,205900,2017-10-25 08:23:22,67222,3,,7
1710240,300414,2016-07-01 05:29:28,15441,3,11.0,7
695844,480637,2017-06-17 11:34:50,39427,2,,4
844442,354367,2016-09-21 22:58:32,63594,3,,7
745536,482518,2017-06-20 20:43:20,60675,3,,1
1343671,115627,2017-12-23 21:34:44,64458,1,1.0,1
3117002,458075,2016-07-31 17:45:21,5098,3,,3
2231140,469940,2016-01-27 16:56:52,62259,1,4.0,7
2803710,203714,2017-04-20 08:08:08,29513,2,1.0,7
2544376,379942,2016-11-01 13:29:41,41616,3,,3
3282841,354946,2017-12-27 21:55:52,39538,3,,3
3279777,429943,2016-07-02 21:25:23,18589,3,,4
1928424,314602,2017-12-25 21:28:13,64357,3,7.0,7
3695695,430437,2016-01-10 18:01:03,46396,3,,9
3379636,26362,2017-11-17 08:42:02,10338,3,,7
3472874,53566,2016-08-10 12:29:09,28480,3,,8
376890,358267,2017-07-07 16:49:37,3084,2,,7
1904786,253083,2016-02-14 16:54:05,62484,3,,3
131487,253660,2017-11-24 15:19:20,24484,3,,7
3495327,153639,2016-11-08 11:45:08,21768,3,,7
2103239,292741,2016-02-03 09:00:20,61084,1,,7
2283623,430032,2017-12-07 23:16:51,43137,3,,5
2343453,248324,2016-05-28 15:42:13,1811,3,,8
2850473,330354,2017-12-09 14:23:01,34112,3,,8
3688448,505674,2016-01-01 09:30:52,18946,3,,4
1352226,40136,2017-02-28 07:37:31,26467,1,,7
1216619,368430,2016-05-21 13:04:00,68856,1,,6
2848533,381229,2016-11-13 13:42:16,34689,3,,4
528692,407775,2016-06-12 16:42:03,44581,3,,4
864227,231488,2017-04-03 11:52:45,42648,2,,7
1032394,354958,2016-11-30 06:07:45,62995,3,,7
1765442,153615,2016-01-10 17:18:15,34112,3,,4
2917676,227556,2016-12-29 11:34:45,70144,3,5.0,7
2166475,163357,2017-10-23 13:00:54,66408,3,,7
2525821,220069,2016-06-12 18:47:15,14569,3,,8
59493,129239,2017-09-22 13:33:29,53637,2,4.0,7
2200471,258479,2016-01-21 09:31:30,44146,3,,7
2182330,228115,2017-01-07 12:19:07,34503,3,,8
1594694,126528,2016-12-14 14:07:27,22141,3,,3
1441287,255015,2017-05-02 03:52:31,69287,2,,7
1813023,282405,2017-01-15 10:30:54,39216,2,1.0,1
3101467,154954,2017-01-15 16:30:54,66373,3,,8
2842321,504233,2017-10-17 17:51:48,19627,3,,3
961363,35419,2016-05-05 11:42:20,16674,3,,8
3670700,489699,2017-01-20 21:42:21,62082,3,,3
2339820,36718,2016-12-07 23:15:47,67303,3,,4
918208,6268,2016-08-22 09:28:01,46482,3,,1
3337836,280551,2017-06-23 07:18:38,32948,3,,3
1593228,429915,2016-05-26 19:27:03,54495,3,,7
1813168,27447,2017-02-28 09:01:55,69469,2,,1
584372,204616,2017-02-14 10:16:51,63599,3,1.0,1
1196455,329436,2016-07-11 06:31:15,38604,3,,7
3468942,127357,2017-06-26 17:53:40,55650,3,,3
1996517,27552,2016-10-22 10:42:13,62396,2,1.0,2
1890049,286941,2016-12-01 21:24:58,18816,3,,7
535869,112516,2017-06-04 15:07:42,63457,3,,8
460770,182060,2016-12-04 23:39:40,6463,3,,1
3162217,53123,2017-07-15 12:07:29,1697,3,,8
875771,304191,2017-09-23 15:24:43,61287,2,,8
296498,406341,2017-07-06 10:41:28,20430,3,,5
2023866,919,2017-10-03 14:54:37,14910,3,,7
369362,312459,2017-02-14 11:43:43,37408,3,,7
359249,446269,2016-04-11 19:52:07,25231,3,,7
2206662,79597,2016-12-29 11:49:55,8028,3,,7
3363976,19362,2016-09-24 18:04:54,55102,3,,8
1768904,447731,2016-08-30 05:45:49,29788,3,,7
405317,221320,2017-10-02 20:31:37,33946,3,,4
1317290,204652,2016-02-29 07:00:21,69177,3,1.0,7
1045120,81344,2016-12-20 05:35:44,27008,3,,9
3565635,407575,2017-11-30 18:37:06,63704,3,,7
1191883,204321,2017-05-29 11:12:51,33792,3,,9
2305456,204615,2016-06-24 11:57:20,44598,3,,9
1162580,414641,2016-07-28 08:44:37,30633,3,,9
429718,278623,2016-08-27 20:30:27,8232,2,,4
1444728,375313,2017-11-16 08:59:03,70608,3,,8
1649470,90359,2017-03-03 07:05:10,1033,1,,7
125332,316766,2017-08-25 22:27:42,61619,3,,3
2516176,457115,2017-08-22 04:51:39,63775,3,1.0,1
1302881,406344,2017-06-13 11:06:56,64161,3,,9
540491,259421,2016-01-20 14:33:29,49327,3,,8
2057927,25634,2016-01-02 09:44:56,11006,3,2.0,7
1774583,230386,2017-06-29 08:15:49,47243,2,,7
2369629,461283,2017-08-25 18:18:59,52845,3,,7
1753225,59395,2017-07-12 19:04:03,62296,3,,8
2264398,394045,2017-01-15 06:57:08,25963,1,,5
1754188,315720,2016-06-29 07:53:46,10620,3,,3
2066846,12540,2017-12-11 10:01:33,55035,3,,7
3664163,329729,2017-11-09 22:05:31,65165,3,,3
2576191,482411,2017-08-13 19:19:10,2758,3,,4
272580,385470,2017-09-04 08:54:23,5522,3,,8
1585298,70714,2016-11-23 18:41:36,36687,3,,7
59390,331504,2016-07-30 09:40:58,6636,2,,8
984452,384610,2016-03-26 15:13:44,17425,3,,4
1687678,252767,2016-06-02 09:45:06,52438,3,,6
837411,69836,2017-10-14 14:41:50,30637,3,,4
486607,252730,2016-12-19 19:04:56,69873,3,,9
2570053,379591,2016-11-26 09:56:17,12420,3,,3
1558514,258710,2016-03-04 14:35:51,56412,3,,3
1818894,216825,2016-11-24 08:31:42,71257,1,2.0,7
3652932,416918,2017-12-02 17:53:22,42191,3,7.0,7
438730,241935,2017-04-30 18:07:12,17697,1,,2
1257500,457695,2016-10-01 11:40:03,63753,3,,5
3422070,314390,2017-12-14 13:17:43,52992,3,,8
73095,341193,2017-04-16 19:23:44,69043,3,8.0,4
3233906,439447,2016-10-17 12:39:21,4198,3,,8
2416426,294796,2017-01-11 11:22:05,34285,3,,3
2495849,406581,2017-06-03 21:23:43,37488,3,,5
3411407,34787,2016-12-27 07:58:50,68747,3,,7
861094,82342,2016-12-09 06:42:15,29450,3,,8
2579436,200588,2016-07-17 21:19:06,28360,3,4.0,7
1432913,328749,2016-06-14 13:45:39,37610,3,,7
417572,2366,2017-03-05 10:01:48,25449,2,,7
2833837,252873,2017-03-05 06:04:14,62119,3,,3
2380022,482479,2017-06-06 07:23:20,49694,3,,7
2199316,280172,2016-11-15 14:54:33,67854,3,,8
217527,281726,2017-01-08 16:38:46,38980,3,11.0,1
3148480,153902,2017-12-13 16:06:21,66297,3,,9
3090456,358194,2017-04-12 22:46:10,6661,2,,7
3363109,422025,2017-11-27 11:56:07,34930,3,,3
3354642,365427,2017-11-28 17:23:54,12631,3,,8
718211,130232,2016-02-17 08:23:34,26061,2,,2
532730,239651,2016-05-04 12:49:06,23606,3,,7
2913704,179589,2017-11-02 05:25:53,54182,3,,8
2131325,430056,2016-10-13 08:07:28,14357,3,,6
1519748,179025,2016-06-21 10:38:35,43484,3,,1
301577,90642,2016-01-06 14:45:24,29590,1,,1
1413955,484209,2016-01-10 13:20:26,45639,3,,6
3122602,389884,2017-11-25 15:51:16,3106,3,,7
402408,399318,2016-01-03 14:18:23,4266,3,,8
2701004,413847,2017-11-06 17:38:45,13763,3,7.0,7
1627935,151942,2017-07-15 06:59:22,62284,2,,8
2645625,52749,2017-07-29 10:49:59,47441,3,,1
1829816,255131,2016-08-13 04:52:32,44671,2,,2
2717065,390870,2017-12-12 19:02:50,18590,3,,7
2334287,355055,2017-08-14 19:18:43,16290,3,,7
3185658,430207,2017-02-09 11:25:19,54082,3,,4
1590823,411066,2016-01-05 09:07:26,66011,3,,7
712977,140916,2016-02-12 11:38:27,70993,1,,7
1785233,101381,2017-08-02 04:32:23,35749,3,2.0,7
2010532,355796,2017-08-25 08:06:44,18367,3,2.0,7
3740791,236286,2016-10-09 15:20:41,33565,3,,7
2301064,435292,2017-07-09 03:53:48,66852,3,1.0,7
417,29413,2016-10-13 09:03:58,63629,2,,7
2212270,379592,2016-10-20 15:27:26,48238,3,,3
1711423,69066,2017-08-11 00:04:21,3592,3,,3
1648042,27432,2016-12-07 21:26:51,59925,2,,1
1160709,265033,2016-01-21 07:09:37,66015,3,,9
1923270,425139,2017-12-17 09:13:57,39367,3,,7
623898,392271,2016-03-13 19:21:54,62997,3,,3
1865390,380756,2016-08-20 15:48:32,4992,3,,5
1043236,172794,2017-05-31 09:18:35,53345,3,,7
2415733,205487,2017-12-22 05:39:29,58562,3,,7
938010,55736,2017-10-16 06:08:19,63283,2,,5
1312197,233881,2017-01-10 12:27:11,20104,3,,3
852906,228663,2016-11-23 09:40:55,57718,3,,7
680147,22696,2016-07-30 07:22:51,33633,3,,8
3472869,408524,2017-12-31 13:00:16,60488,3,,8
3083746,178927,2017-05-31 20:14:17,10531,3,,1
3417167,25411,2016-10-04 06:32:42,36567,3,,7
221613,163123,2017-10-30 18:49:59,54830,3,,8
944792,379474,2017-10-02 04:06:14,69151,3,,8
3457366,34633,2017-08-06 17:11:27,26203,3,6.0,7
2582036,306562,2017-10-07 08:47:29,1369,3,,3
1346538,419104,2016-05-15 17:44:49,45815,1,,4
405275,182293,2017-11-11 11:08:27,20197,3,,7
668040,241028,2017-11-30 22:14:42,49849,3,,7
1190662,178760,2016-01-23 08:02:41,14738,3,,7
1041399,176048,2016-02-29 15:05:47,59406,3,,4
1215680,57586,2016-12-02 14:18:51,38775,2,11.0,10
3487507,66893,2017-06-21 17:03:37,70565,3,,9
3601731,482451,2016-01-02 15:28:59,22624,3,,8
3423372,427567,2016-03-06 17:09:43,65957,3,,7
864024,455397,2017-01-08 18:31:13,63602,2,,7
3573475,234589,2017-11-08 17:38:08,59401,2,,7
2552267,151954,2016-03-01 14:46:59,34950,2,,7
1864729,353786,2016-12-05 02:57:50,11046,3,,5
3401500,362868,2017-05-21 07:30:40,16144,3,,10
303219,50899,2017-07-29 06:01:05,64521,2,,1
2978310,205703,2016-05-23 06:48:39,30773,3,,7
224693,78364,2016-01-09 09:57:33,48486,3,,3
2727191,151850,2016-10-15 05:48:57,1463,2,1.0,1
2077800,381857,2016-06-05 18:23:44,13892,2,,4
2178123,356153,2017-04-08 16:21:54,29713,2,,7
2926137,962,2017-09-01 17:56:19,38639,3,,9
657576,229165,2017-10-31 15:26:23,3297,3,,7
886170,357739,2017-11-10 11:15:31,46223,2,,3
2636484,178061,2016-11-16 19:07:00,31121,2,,7
746522,202752,2016-09-20 11:54:08,10290,2,,7
778587,210737,2016-06-25 15:55:54,23805,3,,6
3373648,3495,2016-09-09 10:50:49,49942,2,,7
1572668,461987,2016-03-23 14:05:39,56288,3,,4
44827,254794,2016-11-28 04:46:00,45318,3,1.0,1
283278,218530,2016-01-02 15:25:51,215,1,,8
1903837,461378,2016-10-16 18:04:07,36899,3,1.0,7
705409,39577,2016-03-01 07:37:57,525,1,,5
645597,236384,2016-06-16 09:37:36,28280,3,,7
92298,153554,2017-08-13 17:46:55,28496,3,2.0,7
2765516,154111,2017-07-21 14:10:38,17992,3,,5
2454229,278900,2016-06-11 10:35:52,14294,2,,3
432976,79333,2017-08-12 09:51:00,13888,3,4.0,1
4092,2590,2017-12-04 09:22:53,44560,2,,3
2706724,77556,2017-01-28 15:13:46,45256,3,,7
2124629,88,2017-03-02 20:28:15,42671,3,,1
1400699,50807,2017-10-08 04:43:08,62727,2,1.0,1
3323962,26332,2016-09-17 19:35:56,62850,3,,3
3153732,139412,2016-11-28 07:54:46,19528,3,,4
344109,2079,2016-12-10 06:43:10,23987,3,,7
3198668,106605,2016-05-12 16:49:19,30210,3,,8
2235858,279690,2016-03-06 08:50:45,68747,2,,9
2569251,127330,2017-08-07 11:36:13,29006,3,,7
497672,397354,2016-03-03 13:38:20,10119,3,4.0,7
1050768,52861,2016-08-20 10:57:24,63529,3,,7
2088588,336258,2016-07-04 04:53:57,19355,2,,10
3309181,350715,2016-01-27 13:04:52,57291,3,,7
631893,101264,2017-06-25 17:58:18,54086,3,,3
3683483,1721,2017-02-12 13:03:01,33343,3,,3
3232073,14085,2016-11-29 11:57:08,46930,3,,7
1228386,4580,2017-05-24 13:36:16,9394,2,,3
699547,51625,2017-04-04 14:43:05,11709,2,,1
243877,305623,2017-04-19 04:00:01,1452,3,,3
1533689,434509,2017-04-23 20:28:24,31205,2,,5
962213,380767,2016-08-28 17:28:02,63633,3,,8
809198,484116,2016-01-12 19:14:52,35303,3,,8
848992,203553,2017-01-10 14:06:26,14509,2,,7
1341533,231450,2016-04-10 13:43:18,69302,2,,3
1666783,457617,2016-10-06 20:24:03,30278,3,,5
3283095,213,2016-04-08 05:50:57,44907,3,,3
1821821,409163,2017-05-09 22:47:40,12682,2,,7
2871956,155340,2016-05-15 07:25:58,62241,3,,7
641111,160918,2017-06-29 13:57:05,69208,3,,7
1156151,483357,2016-04-03 19:58:51,25071,3,,8
3249036,6383,2016-12-24 12:49:04,28605,3,,8
415700,433033,2017-12-23 07:25:14,24890,2,,7
2269825,253057,2016-01-24 06:08:44,54489,3,,5
523876,430890,2017-06-06 19:39:22,11339,3,,8
408078,226216,2016-08-18 07:43:18,4474,3,,7
3266810,262702,2017-11-30 08:40:31,18304,3,,3
3115377,204026,2017-10-28 20:04:16,64547,3,,4
3166605,469066,2017-06-16 04:35:26,51569,3,,7
2747265,103666,2017-09-27 14:00:47,42671,2,,4
2633450,481450,2017-07-24 06:52:36,22497,2,,5
1917226,84817,2016-03-30 17:15:43,11960,3,,8
842705,441316,2016-06-09 16:21:59,28182,3,,7
2451404,50465,2016-12-25 17:59:13,25361,2,,7
147745,128959,2016-07-23 08:30:15,67908,2,1.0,1
2078672,255056,2016-11-15 14:54:05,6754,2,1.0,7
2345693,306683,2017-04-05 10:17:58,53815,3,11.0,7
2066590,431148,2017-11-27 15:42:23,52895,3,,8
716670,357736,2016-11-26 11:42:43,29845,2,,1
3089796,128418,2017-08-20 10:42:59,15447,3,,7
2670855,213533,2017-07-28 07:59:48,8432,3,,8
3039066,495369,2017-12-11 13:53:03,56437,1,2.0,7
449856,52992,2016-03-23 08:52:24,32974,3,,5
444133,306033,2016-01-15 10:02:26,5119,3,2.0,1
2830075,334861,2016-02-11 15:04:27,44990,3,,3
2202492,210647,2017-12-09 17:48:00,61173,3,,3
2666261,107593,2016-06-27 14:24:48,5521,3,,1
627256,33926,2017-03-01 17:08:51,44542,3,,3
3034999,203607,2017-09-20 18:21:27,68669,2,,9
863590,429932,2017-01-25 11:23:02,6134,3,,8
3740925,253735,2016-12-09 20:24:40,29313,3,,9
1008771,484428,2017-11-15 11:16:03,65527,3,,9
369634,482945,2017-09-25 06:41:08,25500,3,,9
386095,12301,2017-12-28 15:31:57,7603,3,,9
2200877,429791,2016-12-25 08:55:08,68242,3,,4
3318988,355843,2017-03-28 14:55:56,20606,3,,8
1425140,458838,2017-10-07 07:30:20,54941,3,,7
2038706,202207,2016-12-09 05:20:43,6381,2,,6
941865,228824,2016-06-02 20:42:05,15209,3,,5
635418,446435,2017-06-28 14:12:48,30024,3,2.0,7
3708337,477374,2017-12-02 21:18:48,49003,3,,9
1506514,461364,2016-05-22 21:09:44,34109,3,,6
1914969,461901,2017-11-29 09:47:56,48567,3,,4
876039,203548,2016-05-21 20:28:16,14828,2,,8
1784336,185551,2017-05-07 07:39:49,35152,3,,8
3662827,254673,2016-06-19 16:33:09,638,3,,7
2262118,358751,2017-01-03 13:56:36,43555,2,,8
3202812,370712,2016-10-31 15:45:27,20934,3,,7
3340512,347690,2017-12-04 13:30:16,27430,3,4.0,7
1896371,248521,2016-12-17 19:57:46,54695,3,,8
1205683,151777,2016-10-20 06:12:12,2430,2,,9
1982632,76,2016-03-25 16:00:47,33329,3,,1
2851078,6158,2016-02-18 10:49:19,64246,3,,7
1980672,2693,2017-12-06 18:35:25,63169,2,6.0,1
3437941,406686,2016-12-21 10:51:41,34515,3,,7
3076579,357623,2017-07-06 09:48:24,10115,2,,7
18310,115662,2017-04-03 09:16:37,27067,1,,4
2756671,382173,2017-10-08 18:32:28,393,2,1.0,1
2816494,431472,2017-01-23 04:20:17,63054,3,,6
1430103,464955,2017-11-13 06:37:26,29788,3,2.0,7
823596,208833,2016-03-23 23:36:01,44282,3,,8
2545811,265776,2016-02-03 21:23:26,13408,3,,4
1259310,381957,2017-12-09 05:27:01,48190,2,,8
3263014,385863,2017-01-15 12:00:27,27518,3,,8
2167703,182366,2017-01-07 19:29:16,64411,3,1.0,7
2012939,482636,2016-12-14 09:01:18,69541,3,4.0,7
2814141,406344,2017-06-03 08:35:04,64161,3,1.0,7
1866664,237770,2016-06-26 14:16:34,39490,3,,1
1399061,278797,2016-02-14 16:10:08,46819,2,1.0,1
3357516,413903,2016-12-22 17:22:12,45699,3,,9
1305742,287509,2016-08-05 19:22:17,20150,3,,9
3481941,127998,2017-12-01 10:04:50,67390,3,,3
3101461,465145,2017-11-25 13:56:31,37389,3,,9
775905,37950,2017-01-16 22:21:45,37660,3,6.0,7
1026306,403837,2016-08-13 18:05:28,70485,3,4.0,7
2867948,23275,2017-06-04 21:17:57,33255,3,,7
43113,304182,2017-11-25 05:37:43,30814,2,,1
3044480,404678,2017-07-20 14:55:32,45146,2,,6
342192,39120,2017-04-17 08:03:47,57019,3,,1
1004076,77568,2017-12-12 13:47:47,55430,3,,7
3647080,275850,2017-12-11 06:26:38,31446,3,,4
2074853,52626,2017-06-04 17:38:32,66285,3,,7
2651477,168033,2017-09-29 09:43:12,3075,3,,5
1248059,255594,2016-07-13 09:13:55,32444,2,,7
815489,489810,2017-08-03 08:53:01,50649,3,,4
2092264,283152,2016-05-07 06:27:38,66390,2,,3
363174,16947,2016-11-18 11:55:05,32775,3,,3
2652916,77458,2017-12-03 18:55:52,13284,3,,1
909692,330208,2017-09-20 08:37:55,20677,3,,5
811188,157120,2017-11-16 20:51:50,17574,3,,8
2183684,474967,2017-10-24 19:37:08,10945,3,,7
2461153,177613,2017-02-12 16:22:05,43965,2,,8
3336098,228241,2016-06-15 13:38:51,52953,3,,8
