n_arms,true_winner_idx,winner_idx,traffic,wins,baseline,conversion
2.0,1.0,1.0,1003.0,207.0,0.2010255975012308,0.20638085742771686
2.0,1.0,1.0,1003.0,164.0,0.14426414121981707,0.16350947158524426
2.0,1.0,1.0,1003.0,301.0,0.23332704531376985,0.3000997008973081
2.0,0.0,0.0,1003.0,201.0,0.20132807626877786,0.20039880358923232
2.0,0.0,0.0,26933.0,4086.0,0.14935325865794008,0.1517097983885939
2.0,1.0,1.0,1003.0,265.0,0.24839899549743924,0.2642073778664008
2.0,1.0,1.0,1727.0,335.0,0.16917586826086806,0.19397799652576722
2.0,1.0,1.0,1003.0,185.0,0.17264117227237613,0.18444666001994017
2.0,1.0,1.0,1547.0,344.0,0.21818328805875814,0.22236586942469294
2.0,0.0,0.0,2913.0,760.0,0.26742346158760755,0.2608994164092001
2.0,0.0,0.0,2240.0,462.0,0.20006100048170306,0.20625
2.0,0.0,0.0,1003.0,197.0,0.15411897855262344,0.19641076769690927
2.0,0.0,0.0,11967.0,2980.0,0.24371091065945255,0.2490181331996323
2.0,1.0,1.0,1391.0,327.0,0.2212102616720223,0.2350826743350108
2.0,0.0,0.0,1037.0,245.0,0.22256331291286913,0.23625843780135006
2.0,0.0,0.0,16704.0,3135.0,0.18178913481398068,0.18767959770114942
2.0,0.0,0.0,3827.0,637.0,0.15938825528728928,0.16644891559968644
2.0,0.0,0.0,1008.0,234.0,0.23683755372143855,0.23214285714285715
2.0,1.0,1.0,1197.0,269.0,0.20695712687618367,0.2247284878863826
2.0,1.0,1.0,1003.0,200.0,0.18907209468259312,0.19940179461615154
2.0,1.0,1.0,1066.0,281.0,0.24729155758313326,0.26360225140712945
2.0,1.0,1.0,1003.0,214.0,0.21939856439756888,0.21335992023928216
2.0,0.0,0.0,1970.0,360.0,0.20561393126610503,0.18274111675126903
2.0,0.0,0.0,1782.0,450.0,0.24775749423707402,0.25252525252525254
2.0,1.0,1.0,70215.0,14196.0,0.19935894403567966,0.2021790215765862
2.0,1.0,1.0,16381.0,4261.0,0.259374069402306,0.2601184298882852
2.0,0.0,0.0,3829.0,520.0,0.12361934467724361,0.13580569339253068
2.0,0.0,0.0,2027.0,544.0,0.25807581813012864,0.2683769116921559
2.0,0.0,0.0,1003.0,296.0,0.26376426108447243,0.2951146560319043
2.0,0.0,0.0,1003.0,242.0,0.20894693056622057,0.24127617148554337
2.0,0.0,0.0,32260.0,7698.0,0.23941455853931795,0.23862368257904526
2.0,0.0,0.0,1003.0,204.0,0.18817513045169687,0.2033898305084746
4.0,1.0,1.0,12603.0,3010.0,0.21674007343682836,0.23883202412124097
4.0,3.0,3.0,1976.0,494.0,0.22020171264603058,0.25
4.0,1.0,1.0,4465.0,1211.0,0.2011424114279033,0.2712206047032475
4.0,2.0,2.0,5320.0,1367.0,0.22288265420294884,0.2569548872180451
4.0,3.0,3.0,1005.0,245.0,0.20841027166326692,0.24378109452736318
4.0,3.0,3.0,23975.0,4746.0,0.19141349169906505,0.19795620437956205
4.0,0.0,0.0,1354.0,267.0,0.19950021085223943,0.19719350073855244
4.0,2.0,2.0,8838.0,1951.0,0.18529438886226346,0.22075130119936637
4.0,1.0,1.0,1610.0,266.0,0.16127330304168488,0.16521739130434782
4.0,0.0,0.0,19221.0,4524.0,0.19242352646157732,0.23536756672389575
4.0,1.0,1.0,10850.0,2607.0,0.2152345273157744,0.24027649769585255
4.0,2.0,2.0,94808.0,19122.0,0.1745387505431351,0.20169184035102522
4.0,0.0,0.0,12697.0,2876.0,0.1814673117396446,0.22651019925966764
4.0,1.0,3.0,1011.0,131.0,0.1412049342439834,0.12957467853610286
4.0,3.0,3.0,1005.0,277.0,0.21064090287741255,0.27562189054726366
4.0,1.0,1.0,1266.0,301.0,0.21228015429102995,0.2377567140600316
4.0,2.0,2.0,4194.0,1056.0,0.2239950692390266,0.25178826895565093
4.0,2.0,2.0,3614.0,920.0,0.23832562393551682,0.2545655783065855
4.0,1.0,1.0,100004.0,26119.0,0.2301587508262283,0.2611795528178873
4.0,3.0,3.0,1005.0,262.0,0.21509135314954406,0.2606965174129353
4.0,0.0,0.0,100004.0,23253.0,0.20411904797711655,0.2325206991720331
4.0,0.0,0.0,3323.0,797.0,0.2015394348789048,0.23984351489617814
4.0,3.0,3.0,1099.0,212.0,0.18994649059133137,0.19290263876251137
4.0,3.0,3.0,1032.0,272.0,0.24109203983567035,0.26356589147286824
4.0,0.0,0.0,5825.0,1345.0,0.19875181349146304,0.23090128755364808
4.0,1.0,1.0,40006.0,9873.0,0.22222703672684718,0.2467879818027296
4.0,0.0,0.0,1973.0,431.0,0.17519907008692154,0.21844906234161177
4.0,3.0,3.0,17254.0,4376.0,0.22683336836848705,0.2536223484409412
4.0,0.0,0.0,1349.0,349.0,0.20890611528000572,0.2587101556708673
4.0,3.0,3.0,31365.0,6499.0,0.18712611875096247,0.20720548381954407
4.0,3.0,3.0,2140.0,570.0,0.21566325969084618,0.26635514018691586
4.0,3.0,3.0,5300.0,1228.0,0.20238656676055716,0.23169811320754716
6.0,5.0,5.0,1123.0,263.0,0.16871877543353356,0.2341941228851291
6.0,1.0,1.0,7429.0,1873.0,0.2188651816189364,0.25212006999596176
6.0,3.0,3.0,21050.0,4799.0,0.14909388131844456,0.22798099762470309
6.0,2.0,2.0,1007.0,277.0,0.21513894686575866,0.27507447864945384
6.0,0.0,0.0,10241.0,2320.0,0.19860312634234678,0.22654037691631676
6.0,2.0,2.0,1179.0,257.0,0.20456516875957365,0.2179813401187447
6.0,0.0,0.0,100006.0,26336.0,0.22222205418353635,0.2633441993480391
6.0,1.0,1.0,17462.0,5089.0,0.24368959662679276,0.291432825564082
6.0,4.0,4.0,4970.0,1405.0,0.22673567135594097,0.28269617706237427
6.0,2.0,2.0,2188.0,397.0,0.1764786623131972,0.18144424131627057
