,n_arms,epsilon,true_winner_idx,winner_idx,true_winner_ctr,winner_ctr,traffic,wins,baseline
0,2.0,0.1,0.0,0.0,0.2856508552128434,0.2856508552128434,7479.0,2070.0,0.27559183474289883
1,2.0,0.1,0.0,0.0,0.20850426119198154,0.20850426119198154,9209.0,1924.0,0.2025955958397992
2,2.0,0.1,1.0,1.0,0.2369230604783451,0.2369230604783451,28989.0,6916.0,0.22954910628451672
3,2.0,0.1,1.0,1.0,0.25153825312076267,0.25153825312076267,100002.0,24890.0,0.2500016966019655
4,2.0,0.1,0.0,0.0,0.25456926326170637,0.25456926326170637,12117.0,2938.0,0.2465530741080867
5,2.0,0.1,0.0,0.0,0.18988532785064466,0.18988532785064466,2633.0,509.0,0.18777110734908853
6,2.0,0.1,1.0,0.0,0.21233721131609265,0.2061531439148989,100002.0,20497.0,0.20924517761549577
7,2.0,0.1,1.0,1.0,0.2323331592188977,0.2323331592188977,1003.0,206.0,0.16787511348956427
8,2.0,0.1,0.0,0.0,0.25871827506321954,0.25871827506321954,1003.0,231.0,0.20490711734320333
9,2.0,0.1,0.0,0.0,0.2719302646574696,0.2719302646574696,5397.0,1458.0,0.26647568509773023
10,2.0,0.1,1.0,1.0,0.21834105561915695,0.21834105561915695,1892.0,406.0,0.17195943336416492
11,2.0,0.1,1.0,1.0,0.18342055818378925,0.18342055818378925,1224.0,212.0,0.15475247779613976
12,2.0,0.1,0.0,0.0,0.23292101522989758,0.23292101522989758,2589.0,570.0,0.21994040415468516
13,2.0,0.1,1.0,1.0,0.260092173624779,0.260092173624779,1662.0,425.0,0.22630647973732143
14,2.0,0.1,0.0,0.0,0.17971041713247582,0.17971041713247582,100002.0,17924.0,0.17309482618355557
15,2.0,0.1,0.0,0.0,0.27882097801727285,0.27882097801727285,2086.0,523.0,0.25260818024113485
16,2.0,0.2,0.0,0.0,0.24622097991352218,0.24622097991352218,1003.0,208.0,0.2032598144534478
17,2.0,0.2,1.0,1.0,0.2837892583840871,0.2837892583840871,1003.0,258.0,0.2566834492746102
18,2.0,0.2,1.0,1.0,0.19198556627444793,0.19198556627444793,10263.0,1956.0,0.18159281373258943
19,2.0,0.2,0.0,0.0,0.22627842740868134,0.22627842740868134,1003.0,197.0,0.19631911841290936
20,2.0,0.2,0.0,0.0,0.2635418748013826,0.2635418748013826,82650.0,21721.0,0.2612508065227538
21,2.0,0.2,0.0,0.0,0.22374595850643184,0.22374595850643184,1221.0,283.0,0.20203016863888162
22,2.0,0.2,0.0,0.0,0.31755986051800345,0.31755986051800345,1003.0,301.0,0.2742268856797247
23,2.0,0.2,0.0,0.0,0.2302904061986239,0.2302904061986239,1003.0,211.0,0.19632664624756457
24,2.0,0.2,1.0,1.0,0.16973753155489774,0.16973753155489774,1130.0,152.0,0.15092858241418505
25,2.0,0.2,0.0,0.0,0.21969723032093358,0.21969723032093358,1003.0,207.0,0.1795471857903701
26,2.0,0.2,1.0,1.0,0.32459259876939217,0.32459259876939217,1003.0,319.0,0.3013809923660887
27,2.0,0.2,0.0,0.0,0.2316036101243248,0.2316036101243248,1003.0,220.0,0.19505835178263378
28,2.0,0.2,1.0,1.0,0.25127169582178716,0.25127169582178716,1003.0,232.0,0.2334366855814276
29,2.0,0.2,1.0,1.0,0.22186336662151707,0.22186336662151707,1204.0,263.0,0.2026541322805497
30,2.0,0.2,0.0,0.0,0.2691327942614852,0.2691327942614852,1078.0,271.0,0.22842000411575256
31,2.0,0.2,1.0,1.0,0.2553374130418686,0.2553374130418686,1003.0,241.0,0.19239070263925187
32,2.0,0.30000000000000004,1.0,1.0,0.17768259602194333,0.17768259602194333,1003.0,171.0,0.15630982853381364
33,2.0,0.30000000000000004,0.0,0.0,0.23831957723580843,0.23831957723580843,42466.0,9885.0,0.23456144772114834
34,2.0,0.30000000000000004,0.0,0.0,0.2670546896718749,0.2670546896718749,1003.0,198.0,0.21687406568001533
35,2.0,0.30000000000000004,1.0,1.0,0.17829882963008456,0.17829882963008456,1003.0,152.0,0.15221106779464566
36,2.0,0.30000000000000004,1.0,1.0,0.19454130602629996,0.19454130602629996,1003.0,165.0,0.13573106869510765
37,2.0,0.30000000000000004,0.0,0.0,0.213515914436847,0.213515914436847,1911.0,379.0,0.1953285181533736
38,2.0,0.30000000000000004,1.0,1.0,0.15559120513848634,0.15559120513848634,5633.0,882.0,0.14746568713532776
39,2.0,0.30000000000000004,0.0,0.0,0.22722326373914453,0.22722326373914453,1758.0,381.0,0.2035219556617953
40,2.0,0.30000000000000004,1.0,1.0,0.2146883795578799,0.2146883795578799,1801.0,336.0,0.19901434696061993
41,2.0,0.30000000000000004,1.0,1.0,0.24585347976837335,0.24585347976837335,1003.0,236.0,0.2306083019742078
42,2.0,0.30000000000000004,1.0,1.0,0.2611175217371765,0.2611175217371765,1013.0,235.0,0.23024744222332177
43,2.0,0.30000000000000004,0.0,0.0,0.2361778852162117,0.2361778852162117,4312.0,968.0,0.22225680037344633
44,2.0,0.30000000000000004,0.0,1.0,0.2230646625274405,0.21705917035648312,1654.0,346.0,0.22006191644196182
45,2.0,0.30000000000000004,1.0,1.0,0.17245178680753503,0.17245178680753503,1003.0,160.0,0.15138956919784313
46,2.0,0.30000000000000004,0.0,0.0,0.2673958931373815,0.2673958931373815,1917.0,484.0,0.23041876830116154
47,2.0,0.30000000000000004,0.0,0.0,0.18240670954935606,0.18240670954935606,1161.0,191.0,0.16242699778052921
48,2.0,0.4,1.0,1.0,0.19342135254967394,0.19342135254967394,2474.0,406.0,0.17842703244141578
49,2.0,0.4,0.0,0.0,0.27938091997717984,0.27938091997717984,1003.0,223.0,0.2212910736720961
50,2.0,0.4,0.0,0.0,0.23586746413239798,0.23586746413239798,1119.0,257.0,0.20068652522971614
51,2.0,0.4,1.0,1.0,0.22386414987544984,0.22386414987544984,9574.0,2076.0,0.21668357152640666
52,2.0,0.4,0.0,0.0,0.2163018951661978,0.2163018951661978,1003.0,189.0,0.1793433663843593
53,2.0,0.4,0.0,0.0,0.2313363465296235,0.2313363465296235,1003.0,188.0,0.19631332298584436
54,2.0,0.4,0.0,0.0,0.22546551307189538,0.22546551307189538,1003.0,186.0,0.17607964698178197
55,2.0,0.4,1.0,1.0,0.26327794412827604,0.26327794412827604,100002.0,26322.0,0.26213276552254977
56,2.0,0.4,1.0,1.0,0.2970788757942813,0.2970788757942813,1003.0,255.0,0.2535368528101389
57,2.0,0.4,0.0,0.0,0.2456860880052139,0.2456860880052139,1003.0,204.0,0.17609229721694925
58,2.0,0.4,0.0,0.0,0.22891062218962582,0.22891062218962582,9548.0,2068.0,0.22240247471034844
59,2.0,0.4,0.0,0.0,0.19383347504985315,0.19383347504985315,24228.0,4765.0,0.1928615179016466
60,2.0,0.4,0.0,0.0,0.18574436368405975,0.18574436368405975,1003.0,150.0,0.14372268606216787
61,2.0,0.4,1.0,1.0,0.34324813507621793,0.34324813507621793,1003.0,250.0,0.20769934489852943
62,2.0,0.4,1.0,1.0,0.2450817869923592,0.2450817869923592,1040.0,213.0,0.22385200954398937
63,2.0,0.4,0.0,0.0,0.21029441851095945,0.21029441851095945,5168.0,1055.0,0.20181504964188846
64,2.0,0.5,1.0,1.0,0.18551323813826748,0.18551323813826748,5841.0,1067.0,0.18290146756738085
65,2.0,0.5,1.0,1.0,0.19982959829958935,0.19982959829958935,5580.0,1107.0,0.19861410291562778
66,2.0,0.5,0.0,0.0,0.23677353189339603,0.23677353189339603,28423.0,6558.0,0.23331473230785355
67,2.0,0.5,0.0,0.0,0.18898227540579635,0.18898227540579635,1491.0,252.0,0.17352837786165515
68,2.0,0.5,1.0,1.0,0.2176753070980008,0.2176753070980008,1003.0,179.0,0.1704855536885948
69,2.0,0.5,1.0,1.0,0.2006839489534258,0.2006839489534258,1277.0,208.0,0.1651583779929518
70,2.0,0.5,1.0,1.0,0.2617232331344105,0.2617232331344105,1003.0,214.0,0.21266304348432521
71,2.0,0.5,1.0,1.0,0.19675264339526813,0.19675264339526813,1130.0,240.0,0.1804503963411539
72,2.0,0.5,1.0,1.0,0.28204482702660955,0.28204482702660955,1135.0,285.0,0.2544818696110859
73,2.0,0.5,0.0,0.0,0.24467380114348278,0.24467380114348278,2072.0,456.0,0.2391027774190102
74,2.0,0.5,0.0,0.0,0.1610013293040039,0.1610013293040039,1003.0,130.0,0.1375413087552682
75,2.0,0.5,1.0,1.0,0.28948198463124897,0.28948198463124897,1003.0,249.0,0.24299461267217723
76,2.0,0.5,0.0,0.0,0.2650739527276136,0.2650739527276136,1003.0,162.0,0.15854056578654774
77,2.0,0.5,1.0,1.0,0.25802073634014366,0.25802073634014366,1003.0,218.0,0.21693475341542265
78,2.0,0.5,0.0,0.0,0.13628693374186848,0.13628693374186848,3918.0,545.0,0.12891156970484857
79,2.0,0.5,0.0,0.0,0.2455071835781089,0.2455071835781089,1003.0,210.0,0.22341473213405866
80,2.0,0.6,1.0,1.0,0.23731925120748806,0.23731925120748806,1199.0,257.0,0.20815685723589913
81,2.0,0.6,1.0,1.0,0.2665549313169476,0.2665549313169476,7651.0,1976.0,0.2575186245817289
82,2.0,0.6,1.0,1.0,0.18135690578609523,0.18135690578609523,25706.0,4678.0,0.18009731965606607
83,2.0,0.6,0.0,0.0,0.23275484012975978,0.23275484012975978,1003.0,187.0,0.18517815227281653
84,2.0,0.6,1.0,1.0,0.20657133187216117,0.20657133187216117,85926.0,17486.0,0.2041407520552076
85,2.0,0.6,0.0,0.0,0.21261767227641884,0.21261767227641884,100002.0,21182.0,0.21099976296862258
86,2.0,0.6,1.0,1.0,0.2992769225481631,0.2992769225481631,1003.0,181.0,0.2046725383225116
87,2.0,0.6,1.0,1.0,0.24789052835394568,0.24789052835394568,1003.0,192.0,0.18698929647183904
