n_arms,true_winner_idx,winner_idx,traffic,wins,baseline,conversion
2.0,1.0,1.0,1244.0,268.0,0.2010255975012308,0.21543408360128619
2.0,1.0,0.0,3124.0,504.0,0.14426414121981707,0.1613316261203585
2.0,1.0,0.0,1359.0,393.0,0.23332704531376985,0.2891832229580574
2.0,0.0,0.0,1002.0,234.0,0.20132807626877786,0.23353293413173654
2.0,0.0,0.0,3150.0,518.0,0.14935325865794008,0.16444444444444445
2.0,1.0,1.0,1002.0,315.0,0.24839899549743924,0.3143712574850299
2.0,1.0,0.0,2164.0,402.0,0.16917586826086806,0.18576709796672827
2.0,1.0,1.0,1002.0,198.0,0.17264117227237613,0.19760479041916168
2.0,1.0,1.0,1674.0,417.0,0.21818328805875814,0.24910394265232974
2.0,0.0,1.0,2646.0,734.0,0.26742346158760755,0.2773998488284203
2.0,0.0,0.0,2193.0,481.0,0.20006100048170306,0.2193342453260374
2.0,0.0,1.0,1047.0,198.0,0.15411897855262344,0.18911174785100288
2.0,0.0,0.0,62367.0,15264.0,0.24371091065945255,0.24474481697051326
2.0,1.0,1.0,1248.0,310.0,0.2212102616720223,0.2483974358974359
2.0,0.0,0.0,1004.0,255.0,0.22256331291286913,0.2539840637450199
2.0,0.0,1.0,2110.0,382.0,0.18178913481398068,0.18104265402843603
2.0,0.0,0.0,2332.0,412.0,0.15938825528728928,0.17667238421955403
2.0,0.0,0.0,1002.0,258.0,0.23683755372143855,0.25748502994011974
2.0,1.0,0.0,1605.0,386.0,0.20695712687618367,0.24049844236760123
2.0,1.0,1.0,2461.0,505.0,0.18907209468259312,0.20520113774888257
2.0,1.0,1.0,3013.0,805.0,0.24729155758313326,0.26717557251908397
2.0,1.0,1.0,21188.0,4894.0,0.21939856439756888,0.23097979988672834
2.0,0.0,1.0,2393.0,504.0,0.20561393126610503,0.21061429168407855
2.0,0.0,1.0,5590.0,1459.0,0.24775749423707402,0.26100178890876563
2.0,1.0,1.0,49221.0,10113.0,0.19935894403567966,0.2054610836837935
2.0,1.0,1.0,10297.0,2659.0,0.259374069402306,0.2582305525881325
2.0,0.0,0.0,2422.0,320.0,0.12361934467724361,0.13212221304706853
2.0,0.0,0.0,1713.0,458.0,0.25807581813012864,0.2673671920607122
2.0,0.0,0.0,1002.0,338.0,0.26376426108447243,0.3373253493013972
2.0,0.0,0.0,1024.0,228.0,0.20894693056622057,0.22265625
2.0,0.0,0.0,3882.0,938.0,0.23941455853931795,0.24162802679031428
2.0,0.0,0.0,2430.0,498.0,0.18817513045169687,0.20493827160493827
4.0,1.0,1.0,3722.0,915.0,0.21674007343682836,0.2458355722729715
4.0,3.0,3.0,1199.0,298.0,0.22020171264603058,0.24854045037531275
4.0,1.0,0.0,7652.0,2223.0,0.2011424114279033,0.2905122843700993
4.0,2.0,2.0,1002.0,238.0,0.22288265420294884,0.2375249500998004
4.0,3.0,3.0,16463.0,3936.0,0.20841027166326692,0.23908157686934337
4.0,3.0,3.0,3206.0,673.0,0.19141349169906505,0.20991890205864006
4.0,0.0,0.0,4526.0,929.0,0.19950021085223943,0.20525850640742377
4.0,2.0,2.0,1462.0,314.0,0.18529438886226346,0.21477428180574556
4.0,1.0,1.0,2331.0,434.0,0.16127330304168488,0.18618618618618618
4.0,0.0,0.0,15340.0,3656.0,0.19242352646157732,0.23833116036505866
4.0,1.0,1.0,8967.0,2226.0,0.2152345273157744,0.24824355971896955
4.0,2.0,2.0,36911.0,7817.0,0.1745387505431351,0.21177968627238491
4.0,0.0,3.0,25306.0,6299.0,0.1814673117396446,0.24891330119339286
4.0,1.0,3.0,100000.0,15946.0,0.1412049342439834,0.15946
4.0,3.0,3.0,1002.0,292.0,0.21064090287741255,0.29141716566866266
4.0,1.0,1.0,1775.0,368.0,0.21228015429102995,0.20732394366197182
4.0,2.0,2.0,1298.0,351.0,0.2239950692390266,0.27041602465331277
4.0,2.0,2.0,3564.0,886.0,0.23832562393551682,0.24859708193041527
4.0,1.0,1.0,8287.0,2230.0,0.2301587508262283,0.26909617473150715
